StartDate,CanBook,Location,Title
"2019-04-12T00:00:00",false,"Fort Williams","Mountain Havoc GB 2019"
"2019-04-12T00:00:00",false,"Fort Williams","Mountain Havoc GB 2019 Staff"
"2019-04-12T00:00:00",false,"Fort Williams","Mountain Havoc GB 2019 Staff 2"
"2019-04-12T00:00:00",false,"Fort Williams","Mountain Havoc GB 2019 Staff/1"
"2019-03-08T00:00:00",false,"Cronins Yard","Mountain Havoc Munster 2019"
"2019-02-23T00:00:00",false,"Trinity College","CSA Trinity"
"2019-02-15T00:00:00",false,"Iceland","Crean Challenge 2019"
"2018-12-12T00:00:00",false,"Provinces - Ireland","European Jamboree Jambassadors"
"2018-11-09T00:00:00",false,"KNOCKREE YOUTH HOSTEL         ","Mountain Moot 2018"
"2018-09-24T00:00:00",false,"Killarney International Hostel","Rover Focus - Saturday Only Option"
"2018-09-02T00:00:00",false,"Ballyboughal Airfield","Air Activities Adventure Skills WORKSHOP"
"2018-08-16T00:00:00",false,"Salesian College Pallaskenry","Phoenix Challenge Staff 2018"
"2018-06-30T00:00:00",false,"Lough Dan Scout Centre,","The National Raft Race"
"2018-06-29T00:00:00",false,"Netherlands","Explorer Belt"
"2018-06-29T00:00:00",false,"Netherlands","Explorer  Belt  Assessment Staff"
"2018-06-29T00:00:00",false,"Netherlands","Explorer Belt Sweep Team"
"2018-05-20T00:00:00",false,"103rd Dublin Willington Scout Den","County Commissioner Governance Briefing"
"2018-05-18T00:00:00",false,"Rosslare","Adventure Sailing Skills Stages 6 and 7"
"2018-05-04T00:00:00",false,"Great Britain","Mountain Havoc GB"
"2018-04-06T00:00:00",false,"Spike Island","ROVER SURVIVOR"
"2018-03-30T00:00:00",false,"Kerry","PEAK CHALLENGE"
"2018-01-28T00:00:00",false,"Gormanston Park","Option 2: Scouter Conference Sunday only"
"2018-01-27T00:00:00",false,"Gormanston Park","Option 4:Scouter Conference Weekend  Saturday & Sunday Conference, Gala Dinner and B&B"
"2018-01-27T00:00:00",false,"Gormanston Park,","Option 3:Scouters Conference: Saturday's Gala Dinner, B&B and Sunday Conference"
"2018-01-27T00:00:00",false,"Gormanston Park","Option 1:Scouters Conference Saturday only"
"2018-01-26T00:00:00",false,"Gormanston Park","Scouter Conference Friday Night B&B only"
"2018-01-12T00:00:00",false,"Killarney International Hostel","Rover Focus - Weekend Option"
"2018-01-12T00:00:00",false,"Sunshine House, Church Road, Balbriggan","National Youth Forum 2018"
